==========================================================================================
  PT COMMAND STRUCTURED INDEX -- 371 commands
  Format: LINE_NUM | CATEGORY | COMMAND | DESCRIPTION
124875 | other        | sh                                       | This is very similar to the exec command. However, file name expansion is performed on
124924 | other        | sh_list_key_bindings                     | The sh_list_key_bindings command displays current key bindings and the edit
124965 | other        | show_rule_violation                      | Displays the violation details for each violation of a particular rule along with debugging
125479 | other        | sim_enable_si_correlation                | This command specifies nets for signal integrity SPICE correlation.
127943 | other        | start_learning                           | The start_learning command enables PrimeTime to learn users' custom ECO optimization.
1918   | other        | state_name                               | The add_pst_state command defines the states of each of the supply nets for one possible
121855 | other        | static_prob                              | Averaged power analysis uses the supply net probability to determine what fraction of the
128267 | other        | stop_gui                                 | This command stops the application GUI and returns to the shell prompt.
128304 | other        | stop_hosts                               | The stop_hosts command shuts down all hosts that have been started. The hosts could
128637 | other        | stop_multi_user_client                   | The stop_multi_user_client command shuts down all active client sessions whose name
128692 | other        | stop_multi_user_server                   | The stop_multi_user_server command ends the current multi-user server session. Client
128728 | other        | stop_profile                             | The stop_profile command is used to stop the command level profiling in PrimeTime that
124194 | other        | supply_group_list                        | The set_voltage_levels command is used to assign multiple voltage levels to a given
121841 | other        | supply_nets                              | Averaged power analysis uses the supply net probability to determine what fraction of the
3538   | other        | supply_set_names                         | The associate_supply_set command associates the supply set handle specified with the
128754 | other        | suppress_message                         | The suppress_message command provides a mechanism to disable the printing of
10567  | other        | table_name                               | The create_pst command creates a power state table using a specific order of supply nets.
51026  | other        | topic                                    | The man command displays the online manual page for a command, variable, or error
16613  | other        | type                                     | The find command creates a collection of objects. The command exists in PrimeTime
130767 | other        | unalias                                  | The unalias command removes aliases created by the alias command.
130805 | other        | undefine_derived_user_attribute          | The undefine_derived_user_attribute command removes an attribute defined by the
130891 | other        | undo_config                              | This command configures the undo stack.
130931 | other        | unset_rtl_to_gate_name                   | If you have done only the RTL simulation to generate the RTL backward SAIF or RTL VCD
131028 | other        | unsuppress_message                       | The unsuppress_message command provides a mechanism to re-enable the printing of
131073 | other        | update_activity                          | Updates activity for the current design without updating power. Activity is also
131136 | other        | update_budget                            | Updates and compute the budget information for the current design.
131167 | other        | update_metrics                           | Updates RTL power metrics for the current design. This command needs to be called
131249 | other        | update_power                             | Updates power for the current design. Power is also automatically updated by command
131398 | timing       | update_timing                            | Updates timing for the current design. Timing is also automatically updated by commands
131445 | other        | upf_version                              | As the UPF standard matures, new updated versions of the UPF standard can occur. The
49938  | other        | value                                    | This command tests the value of a specified variable, and returns 1 if the value is either 0
101320 | other        | var                                      | The set_app_var command sets the specified application variable. This command sets the
124831 | other        | variable_name                            | The setenv command sets the specified system environment variable_name to the
131778 | other        | which                                    | Displays the location of the specified files. This command uses the search_path to find
132444 | io           | write_binary_aocvm                       | The write_binary_aocvm command creates binary encoded AOCV files from ASCII AOCV
135121 | io           | write_python_interface_file              | The write_python_interface_file generate a python stub file called snps.pyi. The stub file
136379 | io           | write_session_settings                   | The write_session_settings command writes current session settings to a file in Tcl byte
